date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:31	364924/364924	---M--	200	added ('OK')	image/jpeg	etag:%2290a35c8400b1d78b1b35c36441a6ed80%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000022-e0968e096b/454844541_8623177021044036_4542466608411535269_n.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000022-e0968e096b/454844541_8623177021044036_4542466608411535269_ncfbe.jpg	(from https://www.taborslapanice.cz/aktuality/)
13:09:33	582666/582666	---M--	200	added ('OK')	image/jpeg	etag:%22ab45dd45cad7ecdab48fc255e5eb37af%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000002-ccc45ccc47/IMG_0271.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000002-ccc45ccc47/IMG_0271cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:34	64883/64883	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:33%20GMT	https://www.taborslapanice.cz/l/tsd-ve-slapanickem-zpravodaji-2024/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/tsd-ve-slapanickem-zpravodaji-2024/index.html	(from https://www.taborslapanice.cz/aktuality/)
13:09:37	66440/66440	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:35%20GMT	https://www.taborslapanice.cz/l/vikendovka-cucice/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/vikendovka-cucice/index.html	(from https://www.taborslapanice.cz/aktuality/)
13:09:37	65392/65392	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:36%20GMT	https://www.taborslapanice.cz/l/probehne-taborove-odpoledne-20-9/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/probehne-taborove-odpoledne-20-9/index.html	(from https://www.taborslapanice.cz/aktuality/)
13:09:38	64738/64738	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:37%20GMT	https://www.taborslapanice.cz/l/detske-odpoledne-slapanicke-slavnosti/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/detske-odpoledne-slapanicke-slavnosti/index.html	(from https://www.taborslapanice.cz/aktuality/)
13:09:38	67386/67386	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:37%20GMT	https://www.taborslapanice.cz/l/hygienici-kontroluji-detske-letni-tabory/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/hygienici-kontroluji-detske-letni-tabory/index.html	(from https://www.taborslapanice.cz/aktuality/)
13:09:38	3734470/3734470	---M--	200	added ('OK')	image/png	etag:%223eac2b96f42490636bad80153a3a87a7%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000051-48afd48afe/image_2024-08-19_124751110.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000051-48afd48afe/image_2024-08-19_124751110cfbe.png	(from https://www.taborslapanice.cz/aktuality/)
13:09:39	517205/517205	---M--	200	added ('OK')	image/jpeg	etag:%2290a4cf4c09531cedbf5547654c37fd50%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000003-04b3604b3b/IMG_0099.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000003-04b3604b3b/IMG_0099cfbe.jpg	(from https://www.taborslapanice.cz/fotogalerie/)
13:09:39	17896/17896	---M--	200	added ('OK')	image/png	etag:%22933cbde1000ee7cd75664e40a142dd4b%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000041-36cfa36cfc/image_2024-08-19_122558936.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000041-36cfa36cfc/image_2024-08-19_122558936cfbe.png	(from https://www.taborslapanice.cz/kontakt/)
13:09:39	31476/31476	---M--	200	added ('OK')	image/png	etag:%22763c540ae6affa060c63aa3fc8800086%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000043-a23a8a23aa/image_2024-08-19_122700127.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000043-a23a8a23aa/image_2024-08-19_122700127cfbe.png	(from https://www.taborslapanice.cz/kontakt/)
13:09:40	270896/270896	---M--	200	added ('OK')	image/jpeg	etag:%225340911384f242cfdf13731d963dfb0f%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000015-d751fd7521/IMG_1323.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000015-d751fd7521/IMG_1323cfbe.jpg	(from https://www.taborslapanice.cz/fotogalerie/)
13:09:40	1144259/1144259	---M--	200	added ('OK')	image/png	etag:%22d4447bf3cd72984dcd0b9d1b4834415d%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000033-9cab49cab6/image_2024-08-19_121556160.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000033-9cab49cab6/image_2024-08-19_121556160cfbe.png	(from https://www.taborslapanice.cz/kontakt/)
13:09:40	546243/546243	---M--	200	added ('OK')	image/png	etag:%223eb9a1ddd8962c5e6ca70b464ff91183%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000027-b9d11b9d13/image_2024-08-19_114527422.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000027-b9d11b9d13/image_2024-08-19_114527422cfbe.png	(from https://www.taborslapanice.cz/kontakt/)
13:09:40	3070/3070	---M-Z	200	added ('OK')	application/x-javascript	etag:%220a3f218792953f1043f45774804be494%22	https://connect.facebook.net/cs_CZ/sdk.js	C:/TempProjekty/taborslapanice/connect.facebook.net/cs_CZ/sdk.js	(from https://www.taborslapanice.cz/l/new/)
13:09:41	3567811/3567811	---M--	200	added ('OK')	image/png	etag:%2273219b335dbde5edcea0aa4c8f20cb1e%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000035-0168201684/image_2024-08-19_121643128.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000035-0168201684/image_2024-08-19_121643128cfbe.png	(from https://www.taborslapanice.cz/kontakt/)
13:09:41	93065/93065	---M-Z	200	added ('OK')	application/javascript	etag:%22824beb891744db98ccbd3a456e59e0f7+gzip%22	https://platform.twitter.com/widgets.js	C:/TempProjekty/taborslapanice/platform.twitter.com/widgets.js	(from https://www.taborslapanice.cz/l/new/)
13:09:42	384860/384860	---M--	200	added ('OK')	image/jpeg	etag:%22a828a8ca3eb99b324076088d3ceee21a%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000009-8bf908bf93/IMG_0893.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000009-8bf908bf93/IMG_0893cfbe.jpg	(from https://www.taborslapanice.cz/fotogalerie/)
13:09:49	779379/779379	---M--	200	added ('OK')	image/jpeg	etag:%22472bf1a8a6b68f2a5dd41c5cfdac9b67%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000020-14a1f14a21/_MG_1895.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000020-14a1f14a21/_MG_1895cfbe.jpg	(from https://www.taborslapanice.cz/o-nas/)
13:09:50	3643304/3643304	---M--	200	added ('OK')	image/png	etag:%2294ac0940dce4f7c90b2bb69cf003ee1a%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000049-b2706b2709/image_2024-08-19_124729530.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000049-b2706b2709/image_2024-08-19_124729530cfbe.png	(from https://www.taborslapanice.cz/l/hygienici-kontroluji-detske-letni-tabory/)
